"","Macroplot","MonStatusOrd","MonStatus","Species","SciName","CommName","Individuals","Sapling","Seedling","Snag","Total","BA","LiCrBHt","Height","QMD","CrFuBHt","CrScPct","ScorchHt","CharHt","LiveSeedling","DeadSeedling","LiveSapling","DeadSapling","BASapling"
"43","FPICO1T08:10",7,"01PostBurnYear05","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",12.1408336705787,NA,NA,0,12.1408336705787,1.88747094011532,NA,26.2464,5.33890684741424,NA,0,0,0,NA,NA,NA,NA,NA
"44","FPICO1T08:10",7,"01PostBurnYear05","POTR5","Populus tremuloides","quaking aspen",4.04694455685957,NA,NA,8.09388911371914,4.04694455685957,1.0121434191733,NA,NA,6.77164,NA,0,0,0,NA,NA,NA,NA,NA
"45","FPICO1T08:10",16,"02PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",0,NA,NA,139.113719142048,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","FPICO1T08:11",1,"00PreBurn01","ABLA","Abies lasiocarpa","subalpine fir",157.830837717523,NA,NA,12.1408336705787,157.830837717523,17.429298531317,NA,22.658025,4.49966813799042,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","FPICO1T08:11",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",44.5163901254553,NA,NA,36.4225010117361,44.5163901254553,17.175681063553,NA,18.5912,8.41072580215881,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","FPICO1T08:11",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",93.0797248077701,NA,NA,8.09388911371914,93.0797248077701,21.5476315519696,NA,19.6848,6.51491398577575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","FPICO1T08:11",7,"01PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",0,NA,NA,37.9401052205585,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","FPICO1T08:11",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",0,NA,NA,278.227438284096,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","FPICO1T08:11",7,"01PostBurnYear05","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",0,NA,NA,12.6467017401862,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","FPICO1T08:12",1,"00PreBurn01","ABLA","Abies lasiocarpa","subalpine fir",4.04694455685957,NA,NA,0,4.04694455685957,0.988742050233515,NA,NA,6.6929,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","FPICO1T08:12",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",178.065560501821,NA,NA,72.8450020234723,178.065560501821,73.0203452486572,NA,22.2084923076923,8.67098503319653,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","FPICO1T08:12",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",4.04694455685957,NA,NA,0,4.04694455685957,6.68389625957856,NA,NA,17.40154,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","FPICO1T08:12",4,"01PostBurnYear00","ABLA","Abies lasiocarpa","subalpine fir",4.04694455685957,NA,NA,0,4.04694455685957,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"56","FPICO1T08:12",4,"01PostBurnYear00","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",178.065560501821,NA,NA,72.8450020234723,178.065560501821,7.6748621241119,NA,22.2084923076923,3.65697044949305,NA,0,0,0,NA,NA,NA,NA,NA
"57","FPICO1T08:12",4,"01PostBurnYear00","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",4.04694455685957,NA,NA,0,4.04694455685957,0,NA,NA,NA,NA,0.01,4.26504,0.65616,NA,NA,NA,NA,NA
"58","FPICO1T08:12",5,"01PostBurnYear01","ABLA","Abies lasiocarpa","subalpine fir",4.04694455685957,NA,NA,0,4.04694455685957,0.908992648188729,NA,NA,6.41731,NA,0,0,0,NA,NA,NA,NA,NA
