Densities = per acre | BA = sq. ft. / acre | Heights = feet | QMD = inches

Macroplot,MonStatusOrd,MonStatus,Species,SciName,CommName,Individuals,Sapling,Seedling,Snag,Total,BA,LiCrBHt,Height,QMD,CrFuBHt,CrScPct,ScorchHt,CharHt,LiveSeedling,DeadSeedling,LiveSapling,DeadSapling,BASapling
"FPICO1T08:12",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",178.065560501821,,,72.8450020234723,178.065560501821,73.0203452486572,,22.2084923076923,8.67098503319653,,,,,,,,,
"FPICO1T08:12",1,"00PreBurn01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",4.04694455685957,,,0,4.04694455685957,6.68389625957856,,,17.40154,,,,,,,,,
"FPICO1T08:12",4,"01PostBurnYear00","ABLA","Abies lasiocarpa","subalpine fir",4.04694455685957,,,0,4.04694455685957,0,,,,,0,0,0,,,,,
"FPICO1T08:12",4,"01PostBurnYear00","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",178.065560501821,,,72.8450020234723,178.065560501821,7.6748621241119,,22.2084923076923,3.65697044949305,,0,0,0,,,,,
"FPICO1T08:12",4,"01PostBurnYear00","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",4.04694455685957,,,0,4.04694455685957,0,,,,,0.01,4.26504,0.65616,,,,,
"FPICO1T08:12",5,"01PostBurnYear01","ABLA","Abies lasiocarpa","subalpine fir",4.04694455685957,,,0,4.04694455685957,0.908992648188729,,,6.41731,,0,0,0,,,,,
"FPICO1T08:12",5,"01PostBurnYear01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",178.065560501821,,,72.8450020234723,178.065560501821,72.9923936135347,,20.9466461538462,8.66932528064678,,0,0,0,,,,,
"FPICO1T08:12",5,"01PostBurnYear01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",4.04694455685957,,,0,4.04694455685957,6.56346816211067,,,17.24406,,0,0,0,,,,,
"FPICO1T08:12",6,"01PostBurnYear02","ABLA","Abies lasiocarpa","subalpine fir",4.04694455685957,,,0,4.04694455685957,1.04775866049832,,,6.88975,,0,0,0,,,,,
"FPICO1T08:12",6,"01PostBurnYear02","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",186.15944961554,,,64.7511129097531,186.15944961554,73.9822646771819,,20.505,8.53606529922459,,0,0,0,,,,,
"FPICO1T08:12",6,"01PostBurnYear02","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",4.04694455685957,,,0,4.04694455685957,6.503664663709,,,17.16532,,0,0,0,,,,,
"FPICO1T08:12",16,"02PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",0,,,37.9401052205585,0,0,,,,,,,,,,,,
